aAcc,mIoU,mAcc,data_time,time,step
60.95,16.1,22.92,0.0017393112182617187,0.7607961893081665,400.0
70.38,30.69,37.09,0.0016630887985229492,0.09687719345092774,800.0
71.33,31.24,37.74,0.0016457796096801757,0.09723570346832275,1200.0
73.66,38.16,45.88,0.001987910270690918,0.09901199340820313,1600.0
74.45,37.4,43.33,0.0016772747039794922,0.10109426975250244,2000.0
85.74,45.77,51.25,0.0018416404724121093,0.1030886173248291,2400.0
78.47,44.56,53.03,0.0014679670333862306,0.10176353454589844,2800.0
