lr,data_time,loss,decode.loss_ce,decode.acc_seg,aux.loss_ce,aux.acc_seg,time,memory,step
0.00997794446709763,0.005975508689880371,0.06832732334733009,0.04642053302377462,86.3037109375,0.02190679097548127,84.50927734375,0.1402841567993164,11478.0,100.0
0.009955660594668054,0.006495928764343262,0.06941211894154549,0.047633199393749236,76.641845703125,0.021778919082134963,68.0206298828125,0.1412179708480835,3614.0,200.0
0.009933371122565919,0.005569672584533692,0.055164565518498423,0.038138723000884056,68.7713623046875,0.017025842145085335,78.45458984375,0.14008915424346924,3614.0,300.0
0.009911076035273796,0.0057343244552612305,0.07071728892624378,0.05065402202308178,78.1646728515625,0.020063266158103943,75.1922607421875,0.14075467586517335,3614.0,400.0
0.0098887753171919,0.0064291715621948246,0.05107224471867085,0.03607810623943806,74.27978515625,0.0149941380135715,76.07421875,0.14189720153808594,10250.0,500.0
0.009866468952637547,0.007841277122497558,0.05876430682837963,0.042639848217368125,78.2073974609375,0.01612445842474699,78.4912109375,0.143630051612854,3614.0,600.0
0.009844156925844432,0.006120848655700684,0.0411827590316534,0.028755870088934897,92.431640625,0.012426888989284634,92.8680419921875,0.14106411933898927,3614.0,700.0
0.009821839220962003,0.007822775840759277,0.04333029966801405,0.029717814177274704,82.9864501953125,0.013612485537305475,81.170654296875,0.14397084712982178,3614.0,800.0
0.009799515822054777,0.008712124824523926,0.04281293824315071,0.030614892952144146,83.203125,0.012198044918477535,83.447265625,0.14647772312164306,3614.0,900.0
0.00977718671310168,0.007463335990905762,0.04206140097230673,0.029221069626510145,75.87890625,0.0128403312060982,74.261474609375,0.14427461624145507,3614.0,1000.0
0.009754851877995354,0.007550048828125,0.036911748349666595,0.025611918512731792,94.6197509765625,0.011299829324707389,90.606689453125,0.14551565647125245,3614.0,1100.0
0.009732511300541468,0.005613970756530762,0.049217353388667104,0.034606258384883404,78.4881591796875,0.014611094444990157,79.3121337890625,0.14439561367034912,3614.0,1200.0
0.009710164964458045,0.005795836448669434,0.040721876360476014,0.028815510123968123,69.439697265625,0.01190636628307402,66.0064697265625,0.14757058620452881,3614.0,1300.0
0.009687812853374727,0.007685256004333496,0.045939300954341886,0.03244874682277441,70.8892822265625,0.013490553572773933,67.8985595703125,0.15086047649383544,3614.0,1400.0
0.009665454950832103,0.0071044921875,0.04856761898845434,0.03437461350113154,72.998046875,0.014193004835397005,69.0948486328125,0.15000996589660645,3614.0,1500.0
0.009643091240280942,0.007035374641418457,0.040877938643097876,0.02813390865921974,85.58349609375,0.012744029983878136,85.186767578125,0.1514066457748413,3614.0,1600.0
0.009620721705081534,0.008036971092224121,0.04988614283502102,0.03544995319098234,75.4302978515625,0.014436189085245132,73.9990234375,0.15516037940979005,3614.0,1700.0
0.009598346328502901,0.008245134353637695,0.03497007060796022,0.024622838478535414,85.772705078125,0.010347232222557068,84.710693359375,0.1566671371459961,3614.0,1800.0
0.009575965093722064,0.0069896459579467775,0.03782284669578075,0.026950432546436788,85.1165771484375,0.010872414242476225,84.66796875,0.15569963455200195,3614.0,1900.0
0.009553577983823325,0.005260539054870605,0.03676298698410392,0.026036449056118727,81.1004638671875,0.010726537508890032,84.0118408203125,0.15380778312683105,3614.0,2000.0
0.0095311849817975,0.007668209075927734,0.03780114725232124,0.026362830214202403,81.756591796875,0.011438316712155939,83.3648681640625,0.1556087017059326,3614.0,2100.0
0.009508786070541123,0.0065102815628051754,0.0384746003895998,0.026913726609200238,93.1488037109375,0.011560873547568917,92.5933837890625,0.15590744018554686,3614.0,2200.0
0.009486381232855704,0.0064471721649169925,0.03760204985737801,0.026597799081355334,89.508056640625,0.011004251148551702,87.6434326171875,0.15607633590698242,3614.0,2300.0
0.009463970451446941,0.0076247453689575195,0.03189348261803389,0.022621882054954766,91.2017822265625,0.009271600702777504,90.313720703125,0.15646884441375733,3614.0,2400.0
0.009441553708923918,0.006336665153503418,0.039397493936121464,0.027588624507188797,85.9771728515625,0.011808869754895568,83.660888671875,0.15308821201324463,3614.0,2500.0
0.009419130987798348,0.0083465576171875,0.0388801135122776,0.026552228536456824,91.7449951171875,0.012327884510159492,90.5853271484375,0.15676572322845458,3614.0,2600.0
0.009396702270483696,0.00725088119506836,0.037735754065215586,0.027250457927584647,85.02197265625,0.01048529646359384,84.4573974609375,0.15940799713134765,3614.0,2700.0
0.009374267539294417,0.006731510162353516,0.036175488494336605,0.02509816251695156,80.8135986328125,0.011077325977385043,76.2969970703125,0.1595440149307251,3614.0,2800.0
0.00935182677644513,0.007111048698425293,0.04105679467320442,0.029463061969727276,82.8338623046875,0.011593732284381986,85.272216796875,0.15866944789886475,3614.0,2900.0
